id,ra,dec,z,d_c,z_v,d_c_v,x_c,y_c,z_c,vx,vy,vz,vr,log_m,z_s,bulge_length,bulge_axis_ratio,bulge_angle,disk_length,disk_angle,disk_axis_ratio,ra_mag,dec_mag,Mass,
128913408,1.798991,0.76345,0.85303,2108.93,0.85445,2111.71,66.2,2107.7,28.1,84,228,-77,229.5,11.939,0.8545,0.0877279,0.577817,-37.6446,0.724397,-37.6446,0.577817,1.778798,0.753672,8.6896E+11,
128913536,0.447869,1.839682,0.85457,2111.95,0.8567,2116.11,16.5,2110.8,67.8,-367,338,262,343.4,11.462,0.8567,0.0979556,0.728669,6.97543,0.700482,6.97543,0.728669,0.429095,1.829631,2.89734E+11,
128913664,0.733909,1.637169,0.85073,2104.43,0.85385,2110.55,26.94,2103.4,60.12,74,302,503,505.2,13.143,0.8538,0.032648,0.487783,142.54,0.876249,142.54,0.487783,0.717084,1.626022,1.38995E+13,
128913792,1.336713,1.456055,0.85126,2105.45,0.85283,2108.53,49.1,2104.2,53.5,-62,254,69,254.2,11.457,0.8528,0.424166,0.840537,104.765,0,104.765,0.840537,1.319316,1.448139,2.86418E+11,
128913920,1.85173,1.543825,0.85269,2108.27,0.85333,2109.52,68.1,2106.4,56.8,212,93,135,103.4,11.455,0.8533,0.0171784,0.877036,129.001,0.308417,129.001,0.877036,1.834097,1.53737,2.85102E+11,
128914048,2.177179,1.937378,0.8561,2114.93,0.85792,2118.49,80.3,2112.2,71.5,303,293,-302,293.9,11.561,0.8579,0.0085244,0.751008,163.454,0.544428,163.454,0.751008,2.160121,1.931731,3.63915E+11,
128914176,0.048876,2.87852,0.85499,2112.77,0.85719,2117.07,1.8,2110.1,106.1,-186,351,92,355,11.655,0.8572,0.0174057,0.659572,90.9925,0.405431,90.9925,0.659572,0.034163,2.869517,4.51856E+11,
128914304,0.530099,2.702817,0.85359,2110.04,0.85654,2115.8,19.5,2107.6,99.5,-539,473,184,476.1,11.319,0.8565,0.0471058,0.600067,134.344,0.525189,134.344,0.600067,0.512274,2.69399,2.08449E+11,
128914688,1.094067,2.659611,0.85238,2107.65,0.85328,2109.41,40.2,2105,97.8,-563,157,-15,145.4,11.559,0.8533,0.0283102,0.423913,54.7583,0.249179,54.7583,0.423913,1.079046,2.650454,3.62243E+11,
128915072,2.50379,0.39278,0.85622,2115.17,0.85749,2117.65,92.4,2113.1,14.5,-49,209,-218,205.2,13.017,0.8575,0.0559563,0.755465,-26.2457,0.742595,-26.2457,0.755465,2.490084,0.384031,1.03992E+13,
128915200,2.313503,0.93104,0.85403,2110.9,0.85525,2113.28,85.2,2108.9,34.3,117,191,75,196.8,11.496,0.8552,0.0108801,0.922043,-14.4956,0.987523,-14.4956,0.922043,2.295934,0.923535,3.13329E+11,
128915328,2.673633,1.560302,0.85108,2105.11,0.85378,2110.41,98.16,2102.04,57.32,203,258,122,437.7,12.508,0.8538,0.0124834,0.615487,89.2751,0.418824,89.2751,0.615487,2.656676,1.55663,3.22107E+12,
